courseNumber,courseTitle,daytime,faculty1,Units
MGMT721,Modeling Operational Processes,W 4:10 PM-7:10 PM,"Rudi, Nils",1
MGT402,Basics of Accounting,M  W 10:10 AM-11:30 AM,"Nakhmurina, Anya",2
MGT402,Basics of Accounting,M  W 1:00 PM-2:20 PM,"Nakhmurina, Anya",2
MGT402,Basics of Accounting,M  W 2:40 PM-4:00 PM,"Nakhmurina, Anya",2
MGT402,Basics of Accounting,T  Th 1:00 PM-2:20 PM,"Nakhmurina, Anya",2
MGT402,Basics of Accounting,T  Th 2:40 PM-4:00 PM,"Nakhmurina, Anya",2
MGT403,Probability Modeling & Statistics,M  W 10:10 AM-11:30 AM,"Seim, Katja",2
MGT403,Probability Modeling & Statistics,M  W 1:00 PM-2:20 PM,"Seim, Katja",2
MGT403,Probability Modeling & Statistics,M  W 2:40 PM-4:00 PM,"Seim, Katja",2
MGT403,Probability Modeling & Statistics,T  Th 10:10 AM-11:30 AM,"Seim, Katja",2
MGT403,Probability Modeling & Statistics,T  Th 1:00 PM-2:20 PM,"Seim, Katja",2
MGT404,Basics of Economics,M  W 8:30 AM-9:50 AM,"Yang, Kai Hao",2.5
MGT404,Basics of Economics,M  W 10:10 AM-11:30 AM,"Yang, Kai Hao",2.5
MGT404,Basics of Economics,M  W 1:00 PM-2:20 PM,"Yang, Kai Hao",2.5
MGT404,Basics of Economics,M  W 2:40 PM-4:00 PM,"Yang, Kai Hao",2.5
MGT404,Basics of Economics,M  W 4:10 PM-5:30 PM,"Yang, Kai Hao",2.5
MGT405,Modeling Managerial Decisions,M  W 10:10 AM-11:30 AM,"Jain, Anjani",2
MGT405,Modeling Managerial Decisions,M  W 1:00 PM-2:20 PM,"Jain, Anjani",2
MGT405,Modeling Managerial Decisions,T  Th 10:10 AM-11:30 AM,"Jain, Anjani",2
MGT405,Modeling Managerial Decisions,T  Th 1:00 PM-2:20 PM,"Jain, Anjani",2
MGT405,Modeling Managerial Decisions,T  Th 2:40 PM-4:00 PM,"Jain, Anjani",2
MGT510,Data Analysis and Causal Inference,M  W 1:00 PM-2:20 PM,"Jensen, Robert",2
MGT537,Inequality and Social Mobility,T  Th 10:10 AM-11:30 AM,"Biasi, Barbara",2
MGT538,Mastering Influence & Persuasion,M  W 8:30 AM-9:50 AM,"Chance, Zoe",2
MGT538,Mastering Influence & Persuasion,M  W 10:10 AM-11:30 AM,"Chance, Zoe",2
MGT538,Mastering Influence & Persuasion,M  W 1:00 PM-2:20 PM,"Chance, Zoe",2
MGT538,Mastering Influence & Persuasion,M  W 2:40 PM-4:00 PM,"Chance, Zoe",2
MGT559,Marketing Strategy,M  W 8:30 AM-9:50 AM,"Shin, Jiwoong",2
MGT559,Marketing Strategy,M  W 10:10 AM-11:30 AM,"Shin, Jiwoong",2
MGT582,The Future of Global Finance,Th 1:00 PM-4:00 PM,"Garten, Jeffrey",2
MGT627,Business and Government After Communism,T  Th 10:10 AM-11:30 AM,"Shapiro, Ian",2
MGT636,Global Leadership: Personal & Interpersonal Effectiveness,T 4:10 PM-7:10 PM,"Tate, David",2
MGT663,"Innovation, Investments, and New Frontiers in Medicine",T 2:40 PM-5:40 PM,"Knight, Stephen",2
MGT671,Entrepreneurship through Acquisition,M  W 10:10 AM-11:30 AM,"Wasserstein, A.J.",2
MGT823,Insurance and Finance for the Poor,M  W 10:10 AM-11:30 AM,"Jensen, Robert",2
MGT831,Work Motivation and Engagement,T  Th 1:00 PM-2:20 PM,"Shin, Jihae",2
MGT831,Work Motivation and Engagement,T  Th 2:40 PM-4:00 PM,"Shin, Jihae",2
MGT838,Entrepreneurship in the Art Market,M 4:10 PM-7:10 PM,"Resch, Magnus",2
MGT847,Private Equity: Leveraged Buyouts,W 4:10 PM-7:10 PM,"Cascade, Joshua",2
MGT850,The Science of Experiences and Well-Being,M  W 8:30 AM-9:50 AM,"Zauberman, Gal",2
MGT850,The Science of Experiences and Well-Being,M  W 10:10 AM-11:30 AM,"Zauberman, Gal",2
MGT851,Strategic Market Measurement,T  Th 8:30 AM-9:50 AM,"Sudhir, K.",2
MGT851,Strategic Market Measurement,T  Th 10:10 AM-11:30 AM,"Sudhir, K.",2
MGT857,Digital Strategy,T  Th 1:00 PM-2:20 PM,"Kumar, Vineet",2
MGT857,Digital Strategy,T  Th 2:40 PM-4:00 PM,"Kumar, Vineet",2
MGT857,Digital Strategy,T  Th 4:10 PM-5:30 PM,"Kumar, Vineet",2
MGT884,Managing Groups & Teams,M 2:40 PM-5:40 PM,"Munguia Gomez, David",2
MGT895,International Real Estate,T 4:10 PM-7:10 PM,"Gray, Kevin",2
