courseNumber,eval_link,quarter
MGMT721a,,Fall-1
MGT402,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=14968,Fall-1
MGT402,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=14968,Fall-1
MGT402,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=14968,Fall-1
MGT402,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=14968,Fall-1
MGT402,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=14968,Fall-1
MGT403,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=14973,Fall-1
MGT403,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=14973,Fall-1
MGT403,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=14973,Fall-1
MGT403,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=14973,Fall-1
MGT403,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=14973,Fall-1
MGT404,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=14978,Fall-1
MGT404,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=14978,Fall-1
MGT404,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=14978,Fall-1
MGT404,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=14978,Fall-1
MGT404,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=14978,Fall-1
MGT405,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15016,Fall-1
MGT405,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15016,Fall-1
MGT405,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15016,Fall-1
MGT405,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15016,Fall-1
MGT405,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15016,Fall-1
MGT510,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15415,Fall-1
MGT537,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15332,Fall-1
MGT538,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15333,Fall-1
MGT538,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15333,Fall-1
MGT538,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15333,Fall-1
MGT538,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15333,Fall-1
MGT559,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15337,Fall-1
MGT559,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15337,Fall-1
